Access;Gestor de bases de datos, realizado por Microsoft.
URL;Direccion de una cierta pagina de informacion dentro de Internet (Universal Resources Locator).
USB;Bus serie universal (universal serial bus), un nuevo tipo de conexion serie que se esta imponiendo rapidamente por ciertas caracteristicas como;se pueden conectar varios dispositivos a un mismo puerto (hasta 127), se pueden conectar con el ordenador encendido, y el ordenador detecta el dispositivo del que se trata.
Usenet;Uno de los servicios que ofrece Internet, tambien conocido como News.
Vectorial;Un tipo de imagenes para ordenador, en las que se almacena informacion sobre las lineas y figuras geometricas que las componen. Esto permite que no pierdan definicion si se amplian, al contrario de lo que ocurre con las imagenes "Bitmap".
Vectorizar;convertir una imagen Bitmap a vectorial.
Version;Ver release.
VESA;Video Electronics Standards Association. Una asociacion encargada de realizar estandares relacionados con las tarjetas graficas para ordenadores. Realizo una arquitectura de palcas base de 32 bits (Vesa Local Bus o VLB) y definio una serie de modos de video estandar para diversas tarjetas graficas SVGA.
VGA;Matriz grafica de video (Video Graphics Array). Tarjeta grafica de ordenadores PC y compatibles, evolucion de la MCGA, que permitia trabajar tambien a 16 colores con 640x480 puntos.
Virtual;Esta palabra se suele usar para referirse a algo que no existe realmente, sino solo dentro del ordenador. Las dos acepciones mas habituales son "Realidad virtual", referida a un espacio en 3 dimensiones creado dentro del ordenador, por el que el usuario puede desplazarse (normalmente con la ayuda de dispositivos auxiliares, como gafas estereoscopicas, guantes o joysticks), y "Memoria virtual", que consiste en que un ordenador aparente tener mas memoria de la que fisicamente tiene, gracias a que parte del disco duro se utiliza como zona de almacenamiento intermedio, en la que se va volcando informacion cuando la memoria real se satura (de forma transparente, sin que el usuario tenga que hacer nada).
Virus;Un programa con intenciones malignas, que es capaz de propagarse de un fichero a otro del ordenador.
VLB;VESA Local Bus, tipo de arquitectura estandar de placas base, con ranuras de ampliacion de 32 bits, basada en ISA, disenyadas especialmente para tarjetas graficas, hoy en dia abandonada.
WAN;Red de area amplia (Wide Area Network).
WAV;Es la Extension que corresponde a un fichero de sonido (el estandar en Windows);WAVe.
Web;Ver WWW.
Winchester;nombre que antiguamente de daba a los discos duros.
Windows;Nombre generico de toda una familia de software disenyado por Microsoft. Las primeras versiones (hasta la 3.11) eran un entorno grafico basado en ventanas, para el sistema operativo Dos. A partir de Windows 95 (Windows 95 y Windows 98) ya se trata de un sistema operativo en si mismo, con capacidades multitarea. Tambien existen versiones "especiales" de Windows, como Windows NT, disenyado para entornos profesionales, o Windows CE, para ordenadores portatiles de muy reducidas dimensiones.
WMF;Es la Extension que corresponde a un tipo de fichero grafico vectorial (el estandar en Windows);Windows MetaFile.
Word;Procesador de textos realizado por Microsoft.
WordPerfect;Procesador de textos realizado inicialmente por WordPerfect Corporation y actualmente por Corel.
WordPro;Procesador de textos realizado por Lotus, evolucion de otro anterior llamado AmiPro.
WordStar;Procesador de textos, que marco un estandar bajo MsDos pero que actualmente no se continua mejorando (hasta donde yo conozco).
World Wide Web;Ver WWW.
WP;Se suele usar como abreviatura de Word Processing (procesamiento de textos) o de WordPerfect.
WWW;World Wide Web; posiblemente, el servicio mas conocido de Internet;una serie de paginas de informacion, con texto, imagenes (a veces, incluso otras posibilidades, como sonido o secuencias de video), y enlazadas a su vez con otras paginas que tengan informacion relacionada con ellas.
Xbase;Nombre generico que se suele dar al lenguaje de programacion para bases de datos que usaba dBase y que aplicaron (y ampliaron) otras herramientas como Clipper o FoxPro.
Xenix;Version del sistema operativo UNIX desarrollada por Microsoft a finales de los 70 y principios de los 80, disenyada especificamente para los ordenadores compatibles PC.
Xerox;Conocido fabricante de impresoras, copiadoras y plotters.
XLS;Extension de los ficheros de creados con Excel.
XML;Lenguaje de descripcion de paginas de Internet (eXtensible Markup Language), disenyado con la intencion de reemplazar al estandar actual HTML.
XMS;Ver memoria extendida.
XT;El IBM XT era una variante del ordenador IBM PC original, que incluia disco duro (el PC original no).
XWindows;Entorno grafico basado en ventanas, para el sistema operativo Unix.
X86;Nombre generico que se suele dar a la familia de procesadores Intel basados en el 8086;el 8086 original y su variante 8088, 80286, 386, 486 y la actual gama Pentium (Pentium, Pentium Pro, Pentium MMX, Pentium II, Celeron).
ZIP;Extension de ficheros comprimidos. El compresor correspondiente suele llamarse ZIP o PKZIP. // ZIP;Unidad de almacenamiento similar a un diskette, pero con una capacidad de 100 Mb, creada por Iomega.
Z80;Procesador de 8 bits, creado por la casa Zilog, que fue muy utilizado en la primera generacion de ordenadores personales, en equipos como los Sinclair ZX Spectrum, MSX, Amstrad CPC, etc.
1-2-3;Aplicacion de hoja de calculo realizada por Lotus.
286;Nombre generico que se suele dar a los ordenador basados en el procesador 80286, o incluso al mismo procesador.
3D Studio;Conocido programa de creacion de imagenes en 3 dimensiones, realizado por Autodesk.
386;Nombre generico que se suele dar a los ordenador basados en el procesador 80386, o incluso al mismo procesador.
486;Nombre generico que se suele dar a los ordenador basados en el procesador 80486, o incluso al mismo procesador.
80x86;Ver X86.
8086;Procesador CISC de 16 bits realizado por Intel, base de toda la gama x86. Su bus de direcciones era de 20 bits (capaz de direccionar 1 Mb de memoria). Se fabrico con velocidades de 4,77 a 10 Mhz.
8087;Coprocesador matematico disenyado para facilitar al procesador 8086 los calculos con numeros reales (con decimales).
8088;Procesador realizado por Intel,. Se trataba de una variante del 8086 (compatible con el) que trabajaba con un bus de datos de 8 bits (en vez de 16), con la intencion de abaratar costes a cambio de una menor velocidad efectiva.
80286;Procesador de 16 bits realizado por Intel, evolucion del 8086 (y compatible con el). Su bus de direcciones era de 24 bits (capaz de direccionar 16 Mb de memoria). Se fabrico con velocidades entre 6 y 16 Mhz (aunque existieron versiones que llegaron hasta los 25 MHz).
80287;Coprocesador matematico disenyado para ayudar al procesador 80286.
80386;Procesador de 32 bits realizado por Intel, evolucion del 80286 (y compatible con el y con el 8086), con un bus de direcciones de 32 bits (capaz de direccionar 4 Gb de memoria). Se fabrico con velocidades entre 16 y 33 Mhz (aunque AMD realizo tambien una version a 40 MHz). Se realizo una variante mas barata, con bus de datos de 16 bits, llamada 80386 SX. A raiz de la creacion de esta version "pequenya", se cambio el nombre de la version "normal" a 80386 DX.
80387;Coprocesador matematico disenyado para ayudar al 80386.
80486;Procesador de 32 bits realizado por Intel, evolucion del 80386 (y compatible con el y con toda la familia x86). Se fabrico con velocidades entre 16 y 100 Mhz. Incluia coprocesador en el propio micro y otras mejoras frente al 80386. Se realizo una version "barata", llamada 486 SX que no incluia dicho coprocesador. Tambien se hicieron versiones mejoradas sobre la normal (llamada DX);los 486 DX2 eran versiones con velocidad "duplicada" (por ejemplo, en un 486 DX2/66, la placa base trabajaba a 33 MHz, mientras que en el interior del micro la velocidad era el doble;66 MHz); los 486 DX4 tenian la velocidad triplicada (el 486 DX4/100 trabajaba a 99 MHz en una placa a 33 MHz)
